sg_uf,no_municipio,vl_indicador_calculado_mun,co_anomes,dt_atualizacao
CE,Brejo Santo,748.0,201612,2026-03-17 01:25:03
CE,Crato,16742.0,201612,2026-03-17 01:25:03
CE,Juazeiro do Norte,4176.0,201612,2026-03-17 01:25:03
CE,Barbalha,1.0,201712,2026-03-17 01:22:16
CE,Brejo Santo,4251.0,201712,2026-03-17 01:22:16
CE,Crato,19052.0,201712,2026-03-17 01:22:16
CE,Juazeiro do Norte,4649.0,201712,2026-03-17 01:22:16
CE,Barbalha,33.0,201812,2026-03-17 01:20:07
CE,Brejo Santo,5414.0,201812,2026-03-17 01:20:07
CE,Crato,13976.0,201812,2026-03-17 01:20:07
CE,Juazeiro do Norte,9735.0,201812,2026-03-17 01:20:07
CE,Brejo Santo,6797.0,201912,2026-03-17 01:18:13
CE,Crato,12545.0,201912,2026-03-17 01:18:13
CE,Juazeiro do Norte,11320.0,201912,2026-03-17 01:18:13
CE,Barbalha,68.0,202012,2026-03-17 01:16:29
CE,Brejo Santo,4126.0,202012,2026-03-17 01:16:29
CE,Crato,8009.0,202012,2026-03-17 01:16:29
CE,Juazeiro do Norte,4761.0,202012,2026-03-17 01:16:29
CE,Barbalha,54.0,202112,2026-03-17 01:14:49
CE,Brejo Santo,5840.0,202112,2026-03-17 01:14:49
CE,Crato,12935.0,202112,2026-03-17 01:14:49
CE,Juazeiro do Norte,6552.0,202112,2026-03-17 01:14:49
CE,Barbalha,1.0,202212,2026-03-17 01:13:18
CE,Brejo Santo,7732.0,202212,2026-03-17 01:13:18
CE,Crato,20084.0,202212,2026-03-17 01:13:18
CE,Farias Brito,749.0,202212,2026-03-17 01:13:18
CE,Juazeiro do Norte,8579.0,202212,2026-03-17 01:13:18
CE,Missão Velha,163.0,202212,2026-03-17 01:13:18
CE,Brejo Santo,8678.0,202312,2026-03-17 01:11:49
CE,Crato,22309.0,202312,2026-03-17 01:11:49
CE,Juazeiro do Norte,11250.0,202312,2026-03-17 01:11:49
CE,Missão Velha,1425.0,202312,2026-03-17 01:11:49
CE,Barbalha,2.0,202412,2026-03-17 01:10:33
CE,Brejo Santo,6450.0,202412,2026-03-17 01:10:33
CE,Crato,19756.0,202412,2026-03-17 01:10:33
CE,Juazeiro do Norte,8252.0,202412,2026-03-17 01:10:33
CE,Missão Velha,473.0,202412,2026-03-17 01:10:33
CE,Barbalha,13.0,202512,2026-03-17 01:09:47
CE,Brejo Santo,7000.0,202512,2026-03-17 01:09:47
CE,Crato,19412.0,202512,2026-03-17 01:09:47
CE,Juazeiro do Norte,10964.0,202512,2026-03-17 01:09:47
CE,Missão Velha,1070.0,202512,2026-03-17 01:09:47
