,Unnamed: 0,estado,municipio,valor_indicador,ano_mes,tipo_exame
6,6,CE,BARBALHA,0,201612,Mamografia
11,11,CE,CRATO,948,201612,Mamografia
16,16,CE,JUAZEIRO DO NORTE,0,201612,Mamografia
34,34,CE,BARBALHA,1747,201712,Mamografia
39,39,CE,CRATO,2285,201712,Mamografia
44,44,CE,JUAZEIRO DO NORTE,1468,201712,Mamografia
62,62,CE,BARBALHA,2479,201812,Mamografia
67,67,CE,CRATO,1233,201812,Mamografia
72,72,CE,JUAZEIRO DO NORTE,3061,201812,Mamografia
90,90,CE,BARBALHA,2115,201912,Mamografia
95,95,CE,CRATO,2,201912,Mamografia
100,100,CE,JUAZEIRO DO NORTE,4738,201912,Mamografia
118,118,CE,BARBALHA,1869,202012,Mamografia
123,123,CE,CRATO,2106,202012,Mamografia
128,128,CE,JUAZEIRO DO NORTE,2453,202012,Mamografia
146,146,CE,BARBALHA,2333,202112,Mamografia
151,151,CE,CRATO,1929,202112,Mamografia
156,156,CE,JUAZEIRO DO NORTE,3022,202112,Mamografia
174,174,CE,BARBALHA,1681,202212,Mamografia
179,179,CE,CRATO,2294,202212,Mamografia
184,184,CE,JUAZEIRO DO NORTE,4165,202212,Mamografia
202,202,CE,BARBALHA,2314,202312,Mamografia
207,207,CE,CRATO,2927,202312,Mamografia
212,212,CE,JUAZEIRO DO NORTE,3590,202312,Mamografia
230,230,CE,BARBALHA,2599,202412,Mamografia
235,235,CE,CRATO,3901,202412,Mamografia
240,240,CE,JUAZEIRO DO NORTE,5027,202412,Mamografia
